Training RL model
Loading MuJoCo model: models/physics/quadruped.xml into the simulation environment
Simulation environment initialised
Using split brain, control vector communicating policy
Training on cuda
Using PPO
1000 trajectories
15 episodes per trajectory
10 epochs per training batch
Trajectory	Reward    
0         	939.27106 
1         	1152.5251 
2         	1005.32355
3         	1051.3774 
4         	1196.2125 
5         	1166.3807 
6         	1168.3328 
7         	1248.6292 
8         	1015.1992 
9         	1140.6261 
10        	1210.7975 
11        	979.3985  
12        	1055.823  
13        	1000.93866
14        	1109.9855 
15        	1110.7128 
16        	1085.7382 
17        	1192.8479 
18        	1136.5232 
19        	1124.9316 
20        	1147.0499 
21        	1065.9274 
22        	1149.9088 
23        	1173.9119 
24        	992.8979  
25        	1241.8964 
26        	1069.7283 
27        	1250.5568 
28        	1213.8574 
29        	1192.4342 
30        	1213.6351 
31        	1183.2495 
32        	1119.8182 
33        	1238.1523 
34        	1261.4597 
35        	1269.7983 
36        	1080.8236 
37        	1138.3892 
38        	1123.1555 
39        	1080.8156 
40        	1145.2668 
41        	1128.4241 
42        	1130.553  
43        	1228.1326 
44        	1199.5231 
45        	1229.3557 
46        	1210.8508 
47        	1111.1321 
48        	1352.3508 
49        	1247.4088 
50        	1351.6907 
51        	1216.0839 
52        	1100.9545 
53        	1242.0645 
54        	1156.6644 
55        	1206.6633 
56        	1241.2816 
57        	1217.0531 
58        	1191.2484 
59        	1234.5575 
60        	1209.1248 
61        	1161.52   
