Training RL model
Loading MuJoCo model: models/physics/genghis.xml into the simulation environment
Simulation environment initialised
Using connected brain policy
Training on cuda
Using PPO
1000 trajectories
15 episodes per trajectory
10 epochs per training batch
Trajectory	Reward    
0         	316.1032  
1         	345.31253 
2         	342.0551  
3         	340.31012 
4         	325.16586 
5         	308.3621  
6         	368.6927  
7         	277.90546 
8         	355.87317 
9         	281.29205 
10        	355.36667 
11        	339.5705  
12        	394.11392 
13        	342.97272 
14        	362.3961  
15        	389.78946 
16        	392.9769  
17        	417.03104 
18        	430.50293 
19        	440.396   
20        	425.20697 
21        	409.27594 
22        	422.73535 
23        	473.34283 
24        	368.97076 
25        	413.96246 
26        	375.17972 
27        	412.07657 
28        	399.12106 
29        	376.49002 
30        	468.47635 
31        	502.00085 
32        	462.52832 
33        	399.44858 
34        	430.63376 
35        	496.50278 
36        	469.07587 
37        	406.82095 
38        	475.08755 
39        	539.26526 
40        	415.31943 
41        	315.42987 
42        	563.94336 
43        	355.1301  
44        	412.54166 
45        	476.59946 
46        	498.79825 
47        	527.4818  
48        	441.1531  
49        	474.73386 
50        	491.62283 
51        	412.46106 
52        	526.79767 
53        	508.63733 
54        	552.3588  
55        	471.33624 
56        	569.21265 
57        	528.233   
58        	589.56726 
59        	591.43274 
60        	511.23026 
61        	545.0442  
62        	589.3763  
63        	614.0943  
64        	639.36273 
65        	528.0859  
66        	501.64078 
67        	599.6274  
68        	572.4915  
69        	524.8017  
70        	572.4925  
71        	604.9901  
72        	650.71796 
73        	623.7188  
74        	555.13904 
75        	615.89655 
76        	620.6832  
77        	599.5891  
78        	714.8681  
79        	574.44464 
80        	669.60394 
81        	680.3518  
82        	653.2366  
83        	591.57214 
84        	768.13324 
85        	593.9999  
86        	680.87067 
87        	642.84235 
88        	702.1415  
89        	731.9882  
90        	617.97253 
91        	784.9504  
92        	590.8629  
93        	605.1495  
94        	481.13437 
95        	570.5099  
96        	525.08954 
97        	863.531   
98        	726.0766  
99        	852.6159  
100       	765.3277  
101       	710.95135 
102       	814.968   
103       	693.76996 
104       	629.0377  
105       	794.82574 
Read from remote host shell1.doc.ic.ac.uk: Connection reset by peer
Connection to shell1.doc.ic.ac.uk closed.
client_loop: send disconnect: Broken pipe
