Training RL model
Loading MuJoCo model: models/physics/quadruped.xml into the simulation environment
Simulation environment initialised
Using split brain, encoded communication policy
with a 3 dimensional high-level feature encoding
Training on cuda
Using PPO
1000 trajectories
15 episodes per trajectory
10 epochs per training batch
Trajectory	Reward    
0         	1051.5302 
1         	1033.4708 
2         	1028.2726 
3         	1075.028  
4         	1084.4093 
5         	1047.5471 
6         	1024.8165 
7         	1144.7234 
8         	1070.5922 
9         	1118.2769 
10        	1048.2067 
11        	1131.6624 
12        	1055.6536 
13        	1113.862  
14        	1134.7925 
15        	980.86346 
16        	1063.5753 
17        	1019.8981 
18        	1074.2382 
19        	1151.2748 
20        	990.0011  
21        	941.5534  
22        	1048.4612 
23        	1173.5865 
24        	1184.4255 
25        	1059.0651 
26        	1095.0168 
27        	966.75995 
28        	1183.8633 
29        	1108.8794 
30        	966.2453  
31        	1020.9721 
32        	1138.0419 
33        	1176.8632 
34        	1097.7146 
35        	1076.3917 
36        	1165.4584 
37        	1249.1024 
38        	1033.602  
39        	1084.6112 
40        	1014.0504 
41        	1101.0898 
42        	1107.1091 
43        	1101.4604 
44        	1035.6317 
45        	1001.9685 
46        	1109.8622 
47        	1074.4377 
48        	1033.317  
49        	1248.1707 
50        	1108.4908 
51        	1096.9791 
52        	1111.9983 
53        	1164.9742 
54        	1207.7012 
55        	1084.9825 
56        	1063.9487 
57        	1101.1841 
58        	1055.4646 
59        	1157.4215 
60        	1178.3907 
61        	1129.6942 
62        	1214.2102 
63        	1228.136  
64        	1218.095  
65        	1194.6135 
66        	1148.844  
67        	1183.603  
68        	1127.3064 
69        	1103.8849 
70        	1251.0067 
71        	1072.229  
72        	1150.644  
73        	1104.0084 
74        	1149.8868 
75        	1217.087  
76        	1080.9093 
77        	1111.7457 
78        	1216.8456 
79        	1130.0115 
80        	1163.7056 
81        	1195.6262 
82        	1166.9646 
83        	1346.0375 
84        	1297.8347 
85        	1255.6919 
86        	1135.742  
87        	1112.5647 
88        	1209.3463 
89        	1094.0686 
90        	1207.2965 
91        	1196.8318 
92        	1217.8494 
93        	1182.9032 
94        	1199.678  
95        	1165.3466 
96        	1192.7858 
97        	1169.4906 
98        	1170.904  
99        	1193.519  
100       	1271.587  
101       	1385.4685 
