Training RL model
Loading MuJoCo model: models/physics/quadruped.xml into the simulation environment
Simulation environment initialised
Using split brain policy
Training on cuda
Using PPO
1000 trajectories
15 episodes per trajectory
10 epochs per training batch
Trajectory	Reward    
0         	988.0117  
1         	1146.3344 
2         	1064.8047 
3         	1093.2634 
4         	992.02423 
5         	1000.3005 
6         	1090.9786 
7         	1161.554  
8         	996.16144 
9         	948.85895 
10        	940.4319  
11        	1086.3973 
12        	962.3831  
13        	1061.798  
14        	921.70013 
15        	1119.6381 
16        	1049.2377 
17        	1109.1796 
18        	1041.2117 
19        	1048.2023 
20        	832.0774  
21        	1170.594  
22        	1098.5153 
23        	1129.9585 
24        	1042.0948 
25        	1008.4372 
26        	990.2853  
27        	1013.8058 
28        	1045.9983 
29        	1223.9419 
30        	1064.8038 
31        	1004.8886 
32        	1060.5634 
33        	1101.3125 
34        	1065.7014 
35        	1041.6222 
36        	1121.0143 
37        	1139.1078 
38        	1238.3834 
39        	1195.3469 
40        	1133.4641 
41        	1173.5144 
42        	973.11774 
43        	1017.43884
44        	1001.6862 
45        	1049.8059 
46        	1053.7454 
47        	1038.4232 
48        	1012.2721 
49        	1101.5242 
50        	1162.0653 
51        	1156.6816 
52        	1130.1685 
53        	1086.2755 
54        	1150.6001 
55        	1073.7283 
56        	1087.2463 
57        	1114.655  
58        	1123.0883 
59        	1135.2891 
60        	1090.0548 
