Training RL model
Loading MuJoCo model: models/physics/genghis.xml into the simulation environment
Simulation environment initialised
Using split brain policy
Training on cuda
Using PPO
1000 trajectories
15 episodes per trajectory
10 epochs per training batch
Trajectory	Reward    
0         	322.1225  
1         	334.1124  
2         	287.12567 
3         	323.70233 
4         	348.9217  
5         	259.23816 
6         	331.18414 
7         	283.40955 
8         	381.0397  
9         	321.02774 
10        	379.83237 
11        	314.10223 
12        	297.8295  
13        	333.59802 
14        	337.58728 
15        	277.90234 
16        	320.2992  
17        	289.63498 
18        	253.67766 
19        	279.2374  
20        	355.51205 
21        	421.97852 
22        	410.3322  
23        	400.84485 
24        	323.38632 
25        	355.59866 
26        	400.6722  
27        	374.9798  
28        	356.80035 
29        	349.83478 
30        	380.59534 
31        	359.80817 
32        	348.35748 
33        	413.48508 
34        	386.92502 
35        	382.5869  
36        	360.51794 
37        	375.0677  
38        	374.59787 
39        	402.48383 
40        	479.90536 
41        	383.77814 
42        	382.1968  
43        	329.11368 
44        	450.10715 
45        	354.5582  
46        	429.10468 
47        	389.47446 
48        	343.6199  
49        	371.4478  
50        	326.41434 
51        	447.61862 
52        	467.60007 
53        	424.7248  
54        	338.5645  
55        	306.33633 
56        	488.92056 
57        	383.61002 
58        	426.56815 
59        	422.1646  
60        	454.22766 
61        	345.9582  
62        	436.20474 
63        	463.271   
64        	486.97705 
65        	445.45795 
66        	438.8525  
67        	493.39447 
68        	346.12213 
69        	417.16837 
70        	417.55273 
71        	520.05817 
72        	410.1096  
73        	421.09833 
74        	453.72424 
75        	440.94168 
76        	428.52158 
77        	457.68777 
78        	472.43985 
79        	472.29288 
80        	486.0729  
81        	476.0047  
82        	441.45966 
83        	434.6456  
84        	519.4647  
85        	546.9453  
86        	486.9193  
87        	504.50275 
88        	597.7022  
89        	480.51166 
90        	543.4835  
91        	462.2773  
92        	532.01855 
Read from remote host gpucluster2.doc.ic.ac.uk: Connection reset by peer
Connection to gpucluster2.doc.ic.ac.uk closed.
client_loop: send disconnect: Broken pipe
