Training RL model
Loading MuJoCo model: models/physics/quadruped.xml into the simulation 
environment
Simulation environment initialised
Training on mps
Using PPO
100 trajectories
20 episodes per trajectory
10 epochs per training batch
Trajectory      Reward    
0               1410.326  
1               1431.2772 
2               1451.0936 
3               1426.5647 
4               1441.7485 
5               1547.2617 
6               1503.8318 
7               1527.197  
8               1571.2239 
9               1621.5144 
10              1615.2898 
11              1641.9027 
12              1676.1492 
13              1712.804  
14              1697.7682 
15              1737.1133 
16              1773.1293 
17              1781.9205 
18              1787.9938 
19              1799.667  
20              1827.1875 
21              1823.6536 
22              1855.0541 
23              1830.1172 
24              1843.0332 
25              1866.7758 
26              1873.4026 
27              1892.1351 
28              1889.0674 
29              1874.0637 
30              1890.973  
31              1896.0762 
32              1891.6711 
33              1896.6892 
34              1903.2386 
35              1897.0641 
36              1891.4918 
37              1908.9955 
38              1907.4088 
39              1906.1263 
40              1908.3682 
41              1921.0378 
42              1925.373  
43              1910.0016 
44              1922.4528 
45              1915.683  
46              1942.1462 
47              1923.0414 
48              1930.0076 
49              1930.0299 
50              1923.3392 
51              1936.2838 
52              1932.9246 
53              1930.625  
54              1940.402  
55              1935.2996 
56              1929.9164 
57              1936.5045 
58              1957.406  
59              1932.5488 
60              1935.0049 
61              1915.2435 
62              1940.8158 
63              1954.889  
64              1938.3776 
65              1918.5168 
66              1940.294  
67              1910.9299 
68              1943.6035 
69              1935.1902 
70              1931.9658 
71              1940.5674 
72              1929.1738 
73              1959.4977 
74              1943.1838 
75              1942.5613 
76              1940.5332 
77              1961.8033 
78              1931.1537 
79              1950.9402 
80              1951.8779 
81              1950.1201 
82              1920.6078 
83              1940.6418 
84              1948.5983 
85              1945.0394 
86              1952.8665 
87              1932.4486 
88              1949.3037 
89              1944.0807 
90              1949.2474 
91              1934.1562 
92              1952.6941 
93              1945.9231 
94              1952.0248 
95              1959.2858 
96              1943.2709 
97              1930.5579 
98              1939.7201 
99              1932.2992 
