Training RL model
Loading MuJoCo model: models/physics/quadruped.xml into the simulation environment
Simulation environment initialised
Training on cuda
Using policy_gradient
100 trajectories
20 episodes per trajectory
10 epochs per training batch
Trajectory	Reward    
0         	1451.0704 
1         	1842.094  
2         	1960.0359 
3         	1979.5535 
4         	1943.2356 
5         	1856.3344 
6         	1618.9707 
7         	1530.9237 
8         	1673.5989 
9         	1633.1584 
10        	1654.4949 
11        	1569.8507 
12        	1273.6633 
13        	1533.9694 
14        	1536.865  
15        	1276.9646 
16        	1354.9514 
17        	1492.9143 
18        	1480.559  
19        	1507.9404 
20        	1454.8479 
21        	1457.7875 
22        	1436.8888 
23        	1442.1312 
24        	1422.3971 
25        	1466.0667 
26        	1458.2087 
27        	1465.864  
28        	1468.4696 
29        	1519.9243 
30        	1526.0835 
31        	1474.0378 
32        	1495.3318 
33        	1523.3568 
34        	1489.4385 
35        	1500.8206 
36        	1505.7335 
37        	1491.3798 
38        	1504.0449 
39        	1560.654  
40        	1523.8035 
41        	1457.4918 
42        	1507.6045 
43        	1497.6598 
44        	1524.65   
45        	1520.2214 
46        	1493.101  
47        	1526.9363 
48        	1456.4666 
49        	1464.9508 
50        	1477.8083 
51        	1499.9929 
52        	1493.0759 
53        	1486.2264 
54        	1503.2996 
55        	1495.6906 
56        	1481.821  
57        	1465.7123 
58        	1487.4242 
59        	1497.3597 
60        	1486.0715 
61        	1480.0972 
62        	1482.9371 
63        	1477.6191 
64        	1517.4456 
65        	1517.5171 
66        	1519.3162 
67        	1486.9556 
68        	1502.6868 
69        	1505.3013 
70        	1526.7429 
71        	1487.4749 
72        	1447.2375 
73        	1465.0209 
74        	1505.114  
75        	1499.7395 
76        	1475.4777 
77        	1480.708  
78        	1422.665  
79        	1253.6938 
80        	1282.0681 
81        	1165.1147 
82        	1187.5334 
83        	1193.1461 
84        	1176.4381 
85        	1190.3574 
86        	1193.6184 
87        	1177.0751 
88        	1206.8826 
89        	1169.2588 
90        	1188.2716 
91        	1127.551  
92        	1194.8472 
93        	1244.9316 
94        	1274.1921 
95        	1336.7551 
96        	1291.9431 
97        	1243.6302 
98        	1271.3708 
99        	1289.6747
